Plot,Direction,Soil Moisture %
6,Northeast,12
6,Northeast,8.61
6,Southeast,9
6,Southeast,12.36
6,Southwest,7.52
6,Southwest,5.97
6,Northwest,4.67
6,Northwest,1.76
5,Northeast,0.06
5,Northeast,0.84
5,Southeast,0
5,Southeast,0.71
5,Southwest,0
5,Southwest,0.71
5,Northwest,0.57
5,Northwest,0
40,Northeast,0
40,Northeast,0.76
40,Southeast,0.01
40,Southeast,0
40,Southwest,0
40,Southwest,0
40,Northwest,0.04
40,Northwest,0.4
18,Northeast,6.19
18,Northeast,12.48
18,Southeast,12.88
18,Southeast,7.31
18,Southwest,20.91
18,Southwest,12.07
18,Northwest,12.73
18,Northwest,10.3
