date ,p_value,t_peak, m_slope,t_slope,pts_f,mean_f,var_f,pts_d,mean_d,var_d ,,
27-Feb-09,19,1:35,14,1:15,87,2.2,6.3,248,3.6,21.5
28-Feb-09,18.3,0:55,18.3,0:55,58,3.3,14.6,176,2.6,23
1-Mar-09,9.3,0:15,9.3,0:15,10,-0.8,16.6,29,-1,27.1
2-Mar-09,8.5,0:05,4.5,23:40,5,-5.5,31.2,33,-0.9,53
3-Mar-09,12,23:15,12,23:15,61,-0.8,6,202,0.2,12.4
4-Mar-09,9,1:45,9,1:45,53,-0.6,7.7,180,1.3,12.3
5-Mar-09,17,1:55,13.2,1:35,66,-1.1,10.5,208,1.9,21
6-Mar-09,17.3,1:45,14.2,1:30,57,-2,6.5,197,1.9,24.1
7-Mar-09,15.7,2:10,15.2,1:40,48,-1,10.4,189,3.3,25
8-Mar-09,21.2,1:30,21.2,1:30,41,4.8,43,190,6.3,24.4
9-Mar-09,20.3,0:10,18.3,1:25,63,1.7,28.7,214,3.2,33.7
10-Mar-09,12.3,2:35,4,1:35,54,0.1,12,213,7.9,35.4
11-Mar-09,16.2,1:30,7.3,1:15,56,2.3,14.8,233,5,26.8
12-Mar-09,43.7,23:40,38.5,2:55,56,23.3,108.4,209,23.3,168
13-Mar-09,-1.5,1:20,-3.8,2:25,2,-0.5,0,134,2.2,33.2
14-Mar-09,10.3,23:15,5.7,0:45,63,3.7,30.1,196,6.6,43.3
15-Mar-09,-1,2:15,-3,2:55,-99,-99.9,-99.9,124,11.1,183.4
16-Mar-09,7.5,2:30,1,1:45,13,0,17.7,200,5.1,14
17-Mar-09,11.3,1:50,11,23:50,70,5.3,10.1,262,5.2,16.4
18-Mar-09,24.3,0:55,7.5,23:20,62,1.2,17.1,251,4.3,35.6
19-Mar-09,22.8,0:40,22.8,0:40,69,-1.6,9.4,240,4.6,39.8
20-Mar-09,23.8,0:35,18.5,1:30,61,-1.6,14.8,230,1.9,28.1
21-Mar-09,18.3,0:35,13,23:45,46,-0.3,11.2,230,4,27
22-Mar-09,10,2:10,1.5,1:40,51,-1,28,227,4.3,44.8
23-Mar-09,13.5,2:05,11.7,1:55,45,2.7,51.9,238,8.7,47.3
24-Mar-09,16.2,2:15,15.8,1:45,60,1,15.8,255,8.2,30.4
25-Mar-09,18.5,2:50,11.8,0:55,80,6.3,11.5,269,9,32.1
26-Mar-09,21.3,0:50,9,0:35,71,4.4,30.9,274,14.7,150.9
27-Mar-09,24,1:00,18.3,1:35,77,1.8,14,280,11.1,66.9
28-Mar-09,7.3,2:00,0,0:25,39,-0.4,7.8,96,3.7,34.4
29-Mar-09,17,2:35,17,2:35,34,-0.5,25.6,207,3.8,28.2
30-Mar-09,23.5,2:05,11,1:50,76,0.8,10.7,267,9,66.5
31-Mar-09,17.7,2:25,15.7,23:30,66,4.1,8.3,213,10.7,47.9
1-Apr-09,12.5,23:45,12.3,23:25,54,0.5,7.4,259,2.3,21
2-Apr-09,24.7,2:10,17.8,1:40,83,0.9,8.8,205,9.8,74.6
3-Apr-09,17.8,2:55,2.7,1:30,69,-1.6,6,242,3.5,36.3
4-Apr-09,19.2,2:45,14.3,1:45,62,-0.4,8,251,9.5,78.7
5-Apr-09,21.8,1:50,21.8,1:50,70,3,18.3,204,11.5,58.5
6-Apr-09,15.5,2:15,15.3,2:10,28,-1.5,26.1,152,3.1,50.7
7-Apr-09,11.3,23:30,8.3,23:10,62,11.9,17.4,170,4.8,54
8-Apr-09,16.2,2:15,12.2,2:05,69,-0.5,19.8,253,6.9,60.1
9-Apr-09,21.3,2:20,15.3,1:55,84,2.5,15.6,276,10.2,73.4
