Plot,Direction,Soil Moisture %
12,Northeast,13.04
12,Northeast,13.26
12,Southeast,12.2
12,Southeast,11.03
12,Southwest,10.41
12,Southwest,8.99
12,Northwest,12.48
12,Northwest,7.8
19,Northeast,12.17
19,Northeast,9.63
19,Southeast,12.48
19,Southeast,12.82
19,Southwest,9.27
19,Southwest,9.46
19,Northwest,13.94
19,Northwest,11
25,Northeast,1.04
25,Northeast,1.44
25,Southeast,0.77
25,Southeast,0.78
25,Southwest,0.44
25,Southwest,0.75
25,Northwest,0.23
25,Northwest,0.61
9,Northeast,0.75
9,Northeast,0.89
9,Southeast,0.75
9,Southeast,0.25
9,Southwest,0.23
9,Southwest,0.75
9,Northwest,0.63
9,Northwest,1.03
